"","MUE 1","MUE 2","MUE 3","MUE 4","MUE 5","MUE 6","MUE 7","MUE 8","MUE 9","MUE 10","MUE 11","MUE 12","MUE 13","MUE 14","MUE 15","MUE 16","MUE 17","MUE 18","MUE 19","MUE 20"
"FUE 12","62.237488173272","62.404410893678","62.109224464882","61.342107456206","62.547368932914","62.312193156101","58.39896964874","60.158419972787","53.060890797556","55.417728890522","54.916908425141","57.918133114483","58.864514355615","44.260908087022","57.588744929302","55.384702741419","60.098921149259","51.298612303145","55.715741155361","59.574754242349"
"FUE 13","57.353820815017","57.530744491594","57.218144192958","56.411201524338","57.682597949741","57.432951321652","53.368219674016","55.178833977002","47.958691333498","50.336697734501","49.830362252569","52.876723623913","53.84530200626","39.133342018219","52.5406987057","50.303287763783","55.117233378062","46.186649729509","50.638310317658","54.575782050829"
"FUE 14","54.94072329463","55.050737740127","54.855213705314","54.326617530371","55.1438054636","54.990137589373","52.057919736426","53.456777803298","47.287953807079","49.46759482357","49.012165594919","51.656700507697","52.439115906227","38.711523494208","51.377731359925","49.437710539557","53.411436447666","45.610206011442","49.736259358453","53.005748777972"
"FUE 15","58.243141044967","58.375325814784","57.553311904493","57.100748600788","58.120204278598","57.959381737627","57.074436056203","57.406653481887","55.170095617182","56.285544538719","48.640965801502","45.279217025553","45.742360790093","48.308460317965","55.818231596388","30.338802891067","54.209734694858","54.268435304467","34.38931329181","53.202041684052"
"FUE 16","99.062680320316","99.186161946607","98.414450746339","97.985982771591","98.947618490962","98.796787384678","97.960999299095","98.27586242833","96.135010641573","97.208593971992","89.719052438046","86.375008539892","86.836444138127","89.38896431619","96.760086617732","71.449314326316","95.203243185547","95.260366683902","75.499072076934","94.219620423876"
"FUE 17","62.717278426813","62.82198846727","62.160445673829","61.786220984144","62.619304699948","62.490296537523","61.764258147243","62.039915944517","60.121875806511","61.095976994828","53.992072143045","50.695259951597","51.152107747378","53.668391372714","60.691755827869","35.809378303351","59.259955395395","59.31318489404","39.857088215328","58.336379547628"
"FUE 18","55.020771356604","55.118354580164","54.499253894009","54.146482482895","54.929322381457","54.808698670365","54.125725347479","54.385824886795","52.5588913575","53.49149977266","46.556321143948","43.281706951473","43.736382962643","46.235630954232","53.105583623588","28.414814711919","51.726921854201","51.778463382318","32.46154157664","50.829652270636"
"FUE 19","59.812869114952","59.953889093624","59.081296805503","58.604917612802","59.68196857487","59.51108355356","58.577299032224","58.926632580711","56.597340514368","57.75286061059","49.963563832535","46.585910976177","47.050583809904","49.628879596751","57.267454544575","31.632367342178","55.61004141643","55.670218887415","35.683547033046","54.579936372892"
"FUE 20","56.534951186187","56.632408147286","56.014062508972","55.661675620276","56.443617992044","56.323143322275","55.640940152949","55.900760559056","54.075476156632","55.007329139203","48.075268763172","44.801074077313","45.255708948747","47.75463496338","54.621745352266","29.934542445196","53.244056535838","53.295566970929","33.981250602462","52.347273117122"
"FUE 21","75.739279381154","75.863207570483","75.088903546294","74.659183467867","75.623812752233","75.472467047836","74.634130738867","74.94989660198","72.804023558958","73.879816289836","66.381990961389","63.036983149102","63.498511907784","66.051771449021","73.430318991262","48.110484699301","71.87073548686","71.927943104062","52.160283634182","70.885825288414"
"FUE 22","55.336314167247","55.324048032614","54.997073492364","54.845757289849","54.3735844585","54.110247854724","54.375192265066","54.287023054308","53.950163391222","54.094225475733","52.046559301112","49.339936327697","41.313328812111","51.715241090581","52.381680937047","43.444569608903","42.890188645764","52.322181350591","41.278426564077","40.146436457521"
"FUE 23","63.070234096956","63.058201132809","62.737209757296","62.588516188472","62.123972630919","61.864549369013","62.125555819406","62.038723457533","61.706732063487","61.848757631038","59.824614118993","57.136188882721","49.127380372235","59.496172868996","60.156595863404","51.256509041961","50.702780625464","60.097671418377","49.092504816918","47.961273819468"
"FUE 24","54.185960458458","54.17862749697","53.980100616197","53.886250404082","53.585498257218","53.412665534517","53.586542393753","53.529084182295","53.30585147768","53.402033931756","51.940883211359","49.746834217778","42.285381098764","51.686818667047","52.193173339341","44.345709776617","43.81311760575","52.148732940807","42.251382254396","41.145160517394"
"FUE 25","62.865898926102","62.856481144923","62.603188671703","62.484535735375","62.10868681549","61.895532832522","62.109980618776","62.03889325543","61.764767762997","61.882484824502","60.148505718658","57.699843869898","49.940150763219","59.857034276695","60.44052243414","52.038905246471","51.494536774589","60.388888864348","49.905660529349","48.785402944881"
"FUE 26","90.574129901965","90.564296478137","90.300170794166","90.176665152992","89.786323571008","89.565510469471","89.787665063247","89.713979158954","89.430235721778","89.5520061406","87.768391545496","85.276601213734","77.469991387591","87.470396808878","88.067408769607","79.574583792427","79.02841985316","88.014502047528","77.435426882887","76.313051935486"
"FUE 27","94.99567385789","94.98550467276","94.712648229823","94.585244399491","94.183307428696","93.956394415634","94.184686962182","94.108929308119","93.81753707295","93.942527271015","92.119852581803","89.594761902901","81.752583483749","91.816783354941","92.424330627394","83.861565069796","83.314050126037","92.370429603084","81.71796320583","80.593998940238"
"FUE 28","62.254902956526","62.242967729354","61.924486838253","61.776895252935","61.315562759282","61.057789686408","61.317135573437","61.23086669552","60.900929370145","61.042095271774","59.027916320108","56.347252861765","48.346081114144","58.700699078937","59.358563509388","50.474301222789","49.920853440928","59.299883415164","48.311217045117","47.180312746384"
"FUE 29","56.540926776064","56.444612080488","56.477916042798","56.411361620466","54.463609716157","53.780175113025","55.642294814533","55.157329068967","55.826274914221","55.614758773931","55.549868374207","55.086543482625","53.339576215101","55.074819878366","52.305664011719","53.240962699319","31.524004953628","53.860878037497","52.626986036491","35.453189584592"
"FUE 30","58.079519742014","57.940379530361","57.988336964516","57.892659407561","55.313782665013","54.481785232973","56.828791902611","56.1910988168","57.07690658111","56.791967309436","56.705496227765","56.099825050666","53.959286180999","56.084749493231","52.767313702671","53.843647156156","31.447746841461","54.578591723731","53.133208711186","35.383205841885"
"FUE 31","59.267751802507","59.130001311863","59.177484721088","59.082747751665","56.522822330456","55.694910361205","58.028065310632","57.394898267856","58.274232858189","57.991520414117","57.90569693368","57.304219997397","55.174606094075","57.289241606206","53.986757109881","55.059418288051","32.680175817915","55.791280545398","54.351504052769","36.615492222666"
"FUE 32","54.259232154972","54.150506399881","54.18806679944","54.113042888162","51.971654657646","51.239765525758","53.255953444164","52.723722773298","53.459440669742","53.225575565769","53.154066245622","52.646509098907","50.771974914507","52.633731850522","49.684611693978","50.667665681849","28.711260880565","51.325774766493","50.021137352534","32.64277004985"
"FUE 33","56.713250853547","56.557675660774","56.61123138474","56.504453012633","53.708239202096","52.830900588623","55.333772264242","54.644477523675","55.604293039718","55.293739431853","55.199849964789","54.546463866143","52.284254906843","54.530289649041","51.047308931044","52.163669753796","29.589349671002","52.932524744651","51.425674496619","33.526302458593"
"FUE 34","64.82530285197","64.716232108122","64.753910709216","64.678651716877","62.532015367055","61.798850129051","63.819146783995","63.285639687904","64.023164988011","63.788691755824","63.717002947142","63.208253517516","61.33034976708","63.195448019876","60.24160460221","61.225892443063","39.263438708716","61.88499840636","60.578521567714","43.195004972636"
"FUE 35","86.219917777984","86.092223013539","86.136273500191","86.048351351478","83.628387800302","82.831330558989","85.060864379406","84.461248110634","85.292688216617","85.026384319","84.945345980455","84.375006120156","82.327705050975","84.36075207891","81.171388899228","82.215955177676","59.965833639924","82.92439375272","81.527330417109","63.900026150195"
"FUE 36","76.587187708673","76.179435248229","76.61754861039","76.495776176698","73.826937281742","72.25396394355","73.429400209989","70.851340583183","75.077766421358","73.866504438005","75.479419603591","75.443128308736","74.731153987211","74.426371375222","59.872396337918","74.07026218726","69.717148181867","69.048526130521","73.769858861548","69.823665111017"
"FUE 37","56.215272118513","55.863994867296","56.241242835987","56.136921091489","53.759985928078","52.296470048321","53.393677487403","50.964513054095","54.893673962098","53.796298526309","55.250805671258","55.218689024886","54.582634082264","54.307086664901","40.161035300584","53.982859261804","49.873488457742","49.225658965473","53.707554731274","49.97639739735"
"FUE 38","90.322029223317","89.92588202999","90.351482942305","90.233312200623","87.623040244056","86.071226586852","87.231584018767","84.682036861444","88.850743926196","87.661971644199","89.243475965202","89.208024289535","88.51120704706","88.212204776336","73.735690831726","87.862363701706","83.555963857543","82.89122932749","87.566868963502","83.661804670147"
"FUE 39","62.061908878443","61.606266331258","62.096041122945","61.959319625064","59.055987584289","57.402054086641","58.634988757","55.949004047366","60.39752538315","59.098016919029","60.834815865432","60.795154917214","60.022906168206","59.695410393642","44.850699657928","59.31483877015","54.784689425401","54.101738446445","58.995399000491","54.893704583223"
"FUE 40","59.190804391596","58.737104289351","59.224782794006","59.088670352159","56.194633301757","54.543798584348","55.77453820581","53.092650747159","57.532632583103","56.236567522572","57.968513320217","57.928986145295","57.159113492662","56.832504913672","41.99876504777","56.452883839461","51.929462299668","51.247044400377","56.134180225932","52.038384342314"
"FUE 41","69.779554638091","69.352936369428","69.811395868605","69.683751034797","66.921184423903","65.315143457384","66.514102073817","63.891739129794","68.208630549903","66.961751530088","68.624545050578","68.586908293503","67.850761081956","67.536817251174","52.863039906649","67.170809294291","62.745065555276","62.070488496559","66.862679859652","62.852619556384"
"FUE 42","108.07712401963","107.68945552939","108.10591660935","107.99037208807","105.42333959794","103.88739961994","105.03643128535","102.50835818004","106.63384871525","105.46179615332","107.01999008403","106.98515769078","106.29955581743","106.0048486523","91.586868947019","105.65967640517","101.38844567635","100.72666794084","105.36784606815","101.49377271957"
